playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,hero_damage_avg_per_10m,final_blows_avg_per_10m,time_played_total,prediction
8675,7693,offense,Adora,HZS,16.00212911748312,3.8762349588379705,5678.864359807188,4.410253076682631,5390.964429568358,4.1340368088319455,65166.32832694054,support
3985,4523,offense,aKm,DAL,17.296143282197256,5.17853349989675,158.64605623795728,4.575825159939393,9600.623635624295,6.050874518256077,75658.48516917229,offense
8812,7692,tank,ameng,CDH,16.470543859782193,6.202664771835841,0.7247976242102706,4.511643841673399,7051.640851944391,5.04600645560473,88703.81041681768,tank
4841,4403,support,Anamo,NYE,14.16502065634909,2.7452069713745075,6563.244540433752,3.5675324830700244,3948.1272502794177,1.8981498653422837,97041.8634288311,support
5715,4404,offense,Architect,SFS,18.181756069653364,4.5558883025108425,3806.8947472166587,4.639482583290858,7825.862117239411,8.087746665466497,28710.098078548912,offense
4652,7697,support,ArK,WAS,7.87013046004536,2.6414690739462587,6825.2686129782605,3.518943389606489,2482.55593554341,1.3207345369731294,66326.72770166397,support
5878,4402,tank,Axxiom,BOS,13.589014561645525,6.323051673581997,0.0,3.7716448579261033,7227.732158597082,3.3833872990219462,10817.5614451766,tank
4491,7698,offense,babybay,ATL,18.285137251126827,4.898535091325363,153.51270516537375,4.520151378634259,9724.894013271038,6.320030660624372,58670.601443469524,offense
8896,7692,offense,Baconjack,CDH,15.605829880134678,6.119487227049897,123.93822165247087,4.2313183056924935,7305.17159418232,6.50622062058093,26374.75886648893,offense
4624,4525,support,Bani,HOU,11.303448209919846,5.257417772055742,6825.3777696468,3.68019244043902,4791.691329552008,2.102967108822297,2282.4893360733986,support
8676,7693,offense,Bazzi,HZS,15.814584933446074,5.84642696245696,7506.352638185798,4.589445165528713,5369.937011795159,3.800177525597024,20525.35690099001,offense
4655,4410,support,Bdosin,LDN,15.048463858934262,4.107217429189468,8836.736647070427,4.746420141679222,6983.868463028863,3.8828164769324283,88234.91968661547,support
8731,7693,support,BEBE,HZS,14.154976295923483,3.952660972139521,9429.701828506215,4.803399260845048,7197.340358065029,3.5338359684691083,91685.07052701713,support
8708,7694,tank,BenBest,PAR,13.411352311930864,6.584489237484129,0.0,4.2011465073518375,6648.912608389578,4.026098736212177,44559.26487505437,tank
4643,4406,support,BigG00se,GLA,12.350082454969796,4.683844786484093,6429.321594622694,3.655210365142973,3870.859580226673,2.206065016838502,92744.32006233929,support
4639,7699,tank,Bischu,GZC,16.794393318658393,5.927432935997081,1836.4431273533573,2.9637164679985406,7229.213813293501,8.891149403995621,1214.6910943984985,offense
8184,4525,offense,blase,HOU,14.115151749753602,5.688757778148028,5127.842249402414,3.9934326124747743,5288.563477135053,4.545983036842354,95556.88978147508,offense
4625,4525,support,Boink,HOU,8.675603803964782,5.084554333463675,5754.139119630791,3.1330413125259198,2736.000684240098,1.7722924373822468,90391.40303313732,support
4079,4524,support,Boombox,PHI,14.716397278218365,4.686373943443367,9251.731157941926,4.765246997189959,6282.962864831086,3.542714664117775,91285.92919874193,support
8704,4407,offense,bqb,FLA,16.4393325316142,4.809016362982576,319.5256653853782,4.536164370756613,8641.233567754081,4.972727558318153,87959.77556991577,offense
8771,7696,tank,BUMPER,VAN,16.63047398736106,5.906248385600275,6.324789950905733,4.654208253769089,7969.0936246438705,5.3990928891623255,113574.63421881199,offense
10031,4407,support,byrem,FLA,11.418218536293375,5.3606659794804585,7719.478525844625,3.7524661856363215,5266.262932554636,4.127712804199954,11192.63916641474,support
4620,4524,offense,carpe,PHI,17.983018470847522,4.844879976308035,137.70446278139926,4.146629259115727,8782.867899617413,7.03150722225237,97959.08305692671,offense
8721,7699,support,Chara,GZC,10.36103904621798,3.8666689738842392,5914.067037577161,3.253992551965962,3932.9909170364335,1.9129119395448435,88137.87844312191,support
5831,4404,tank,Choihyobin,SFS,19.391550773406475,3.472552823247714,302.3382088894532,2.882165171690916,6035.142896099433,5.957548120254965,111790.95603704453,tank
4663,4523,support,Closer,DAL,10.935585624981194,3.5278186184346008,6354.6600117828275,3.3778374202386754,3511.197806860357,1.9367137332256497,92011.53321880102,support
5306,4402,offense,ColourHex,BOS,14.899416787649455,5.548090240231774,168.8703742460548,3.966816363408959,8649.81290776422,5.752565310510587,88030.29129886627,offense
8892,4408,support,CoMa,SHD,7.9099839848910065,3.70022256961926,6161.83463450467,3.1846177853280513,2070.655671063618,1.3890999482669022,98912.96891301869,support
4138,4525,tank,coolmatt,HOU,15.208514713502407,4.527088741879316,183.13756214690716,4.214156340366922,6774.211481571979,4.777434663089234,28760.204940438267,tank
8784,7697,offense,Corey,WAS,15.025158026532353,5.201794718660278,127.43610685113435,4.608074958294387,9003.292088908313,7.036928523427592,88930.84502941369,offense
3577,4405,support,Custa,VAL,9.496606782880935,4.475920096117527,6896.477806383284,3.526259417829433,3074.2791977807487,1.6858317467284762,81502.79544007777,support
8701,7698,tank,Daco,ATL,17.856422940546764,3.818936857019075,41.59060777373743,2.9741417341027345,6663.501622096214,5.207641168662375,51846.89022445679,tank
4489,4525,offense,Danteh,HOU,17.244251914347743,4.2004197383525534,406.8523242942322,4.38549570383552,7516.714771197397,5.310875531250355,74563.97681885958,offense
8895,4408,offense,DDing,SHD,18.2508910978942,4.8537573745881035,378.7719254479408,4.383012884785326,9069.24547432724,6.9403005185787965,94318.68234634401,offense
8180,4406,offense,Decay,GLA,18.77939273403153,4.486848580441079,149.99439823692563,4.4125630079172184,9050.854425477879,6.574273168361514,80769.38490408659,offense
