playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,hero_damage_avg_per_10m,final_blows_avg_per_10m,time_played_total
8701,7698,tank,Daco,ATL,17.856422940546764,3.818936857019075,41.590607773737425,2.9741417341027345,6663.501622096214,5.2076411686623745,51846.89022445679
4489,4525,offense,Danteh,HOU,17.244251914347743,4.2004197383525534,406.85232429423223,4.38549570383552,7516.714771197396,5.310875531250355,74563.97681885958
8895,4408,offense,DDing,SHD,18.250891097894197,4.853757374588104,378.77192544794076,4.383012884785326,9069.245474327241,6.9403005185787965,94318.682346344
8180,4406,offense,Decay,GLA,18.779392734031532,4.4868485804410785,149.99439823692563,4.412563007917219,9050.854425477879,6.574273168361514,80769.38490408659
8893,4408,offense,diem,SHD,19.069304819378203,4.770968165276059,28.67292059595308,4.516030935070469,8722.343210233583,7.917621978099354,82373.21784293652
4615,4408,offense,Diya,SHD,14.446388949124787,4.815462983041596,0,3.6115972372811966,10081.81698378452,7.223194474562393,498.3944448232651
9251,7698,support,Dogman,ATL,15.029996930624144,5.03854597959195,8955.631267248487,4.810169957854071,6305.9154183458295,3.7539308573163814,84071.8734562993
8722,7699,offense,Eileen,GZC,15.9593606452406,4.451906242428647,3561.7367648513714,4.580481151957272,6577.180112852861,4.805487243632366,37332.32259386778
8787,7692,tank,Elsa,CDH,18.002733739888324,4.027014147903145,111.10528750691863,3.0829764050340476,6932.30270191314,5.736844745127597,90886.1967099309
4634,4408,tank,Envy,SHD,16.77318361796193,4.467781537714935,219.23621113369038,3.369839004817125,6471.3314051808065,5.379918411199269,71041.96955931187
8692,7698,offense,Erster,ATL,17.675339625531567,4.849436941488884,5999.097838488333,4.671475952810392,6217.774500579279,5.554925146607188,94402.71221661568
4636,4407,tank,Fate,FLA,14.142931700705827,6.142393738135005,1.5543048481108492,4.09492915875667,7046.426151116538,4.1159647537502835,85569.24586856365
8831,4409,offense,FITS,SEO,18.882519175250525,4.573258672354231,263.7589635618566,4.554243043778953,9527.150427536983,6.7410403299358626,63105.986491560936
4631,4409,offense,Fleta,SEO,17.98168626134792,4.723203554960928,2659.1999707626874,4.136730386273983,8020.643777829197,6.294113828229529,57291.62354558706
4019,7699,tank,fragi,GZC,18.77020429732409,5.433480191330657,0,2.9637164679985406,4656.070304830188,7.409291169996352,1214.6910943984985
9591,7698,tank,frd,ATL,18.61339828349243,3.905222630218267,477.41981516121945,2.9625826849931682,5983.492228925785,6.224416146248272,40100.14660578966
10011,7698,support,FunnyAstro,ATL,11.75345181693832,5.289053317622244,5403.956711061915,3.526035545081496,3766.5526630515196,2.93836295423458,1020.9766617417336
4659,4410,tank,Fury,LDN,18.857755101481416,3.903886143815451,231.3683014680954,3.61936562824924,6670.623657865853,6.213134049224928,90678.87406522036
8203,4402,tank,Fusions,BOS,13.343378474928594,6.436293725460965,0,3.721183847285548,6461.494975949428,4.4757393241181465,93034.90883755684
4606,4408,tank,Gamsu,SHD,16.836371928771907,6.0799734851596074,0,3.9932818702325106,6835.069224987902,5.440303138917075,96612.2634307146
10144,4407,tank,GARGOYLE,FLA,18.228383137008787,4.3724484672241495,1047.5821262204963,2.8066392188263123,5583.241365177074,5.938257715621988,20308.98721063137
8785,7692,support,GARRY,CDH,10.668149111436552,4.163180141048411,6345.476814994856,3.6427826234173595,5385.954888792596,2.8621863469707822,2305.929523766041
8712,7698,tank,Gator,ATL,15.55835409320373,6.569082839352686,0,4.148894424854328,6106.710767952495,4.840376828996716,1735.4020764827728
5210,4408,tank,Geguri,SHD,17.479051468070914,4.913030682917229,199.66111857340874,3.212366215753573,6301.212640521816,5.810603596142493,12700.918033540249
4666,4410,tank,Gesture,LDN,15.807938301337682,5.750145828322497,0,3.884160645828891,6492.812226434051,5.161235611152529,90675.96119594574
8713,7693,offense,GodsB,HZS,17.820442995395943,3.996136427195588,198.61691820577857,4.516307325069439,9683.685509696614,6.60311057418689,98044.7007098198
8694,7694,support,Greyy,PAR,12.744086524141096,5.744873649662029,8047.980689743486,4.549070255336455,5223.303345244357,3.5455988754828245,71750.92528349161
8741,7693,tank,Guxue,HZS,15.923926129859552,4.911310262081953,0,4.195937338753489,7307.05652023814,5.069517735510363,87227.2320703268
8750,7696,offense,Haksal,VAN,19.34110448419125,4.282243975036978,7396.956136394299,4.975923802625876,6198.426230094529,5.462045886526758,109848.948995471
8723,7699,offense,Happy,GZC,16.23305756502421,4.1884856222721805,1143.8028479215832,4.274110541296484,8359.179904562436,6.2149420391806975,84087.67076271772
3660,4523,support,HarryHook,DAL,9.353437365799888,5.050856177531939,10731.194371858037,4.583184309241945,3508.8664399304384,1.4030156048699833,12829.508052170277
9424,4409,support,Highly,SEO,14.024955008729567,3.8092470394080302,8493.063196360305,4.5018374102094905,5831.977545602512,3.2898042613069354,13861.007032036781
4661,7696,offense,Hooreg,VAN,13.376644194139784,5.668069573788044,158.4902683577488,3.9109680059137504,6044.8076088836115,5.668069573788044,10585.614593982697
4671,7699,tank,HOTBA,GZC,17.03087459091947,3.6652966206708837,274.46473536651206,2.866449921293896,6212.065779615477,5.867159792062916,89378.8508554697
4645,4525,offense,Hydration,HOU,16.137061692868876,5.230779840076919,7443.216483509991,4.5954624505938915,5519.00465731931,4.0130881769011175,56664.59095239639
8742,7694,support,HyP,PAR,13.770586825927811,5.618399424978547,10568.360507306817,4.819705389074734,7008.936627697189,3.77314079030422,21785.563955426216
8717,7693,support,iDK,HZS,12.339800269932319,3.583696294609337,5718.238428604396,3.3047622344536185,4030.633117045286,2.2072173455800312,98948.11692982912
9279,4409,offense,ILLICIT,SEO,15.774015833464713,5.670245336585689,3422.4769979731996,4.293519102599863,6305.68227713429,4.130178701957476,25713.173124849796
8754,7695,offense,ivy,TOR,17.173368758040848,5.9499005117001555,727.9151972220599,4.652072750315482,9899.923990138248,6.479999174800938,65648.15650814772
5872,4408,support,IZaYaKI,SHD,13.368850120213107,5.036574747078299,10720.448760166095,5.089731208788887,7692.792507444123,3.5614829346094563,45149.73199433088
4140,4525,offense,Jake,HOU,15.348872335224165,6.38279273399678,4644.191203172784,4.270908579764463,6342.8835860372255,6.015098617858118,63639.85435974598
8179,4409,support,Jecse,SEO,11.928448625466705,3.9068405131115727,6036.9817275653495,3.272115723866555,3081.4799143328,2.035496737923676,54826.91174137592
